user_id;nb_emprunts_total;duree_moy_emprunt;score_lecture_moy;score_lecture_max;nb_sections_lues;section_principale
878475ca4ec3;1;14;0,525;0,525;1;PHYSIQUE, CHIMIE ET TECHNOLOGIE
893be9b7de2a;3;17;0,5917;0,6;2;ETUDES DES LANGUES
8af2c1c6dbfe;2;14;0,6;0,6;1;MATHÉMATIQUES SECONDAIRE
8c411b883095;1;14;0,525;0,525;1;SCIENCES DE LA VIE ET DE LA TERRE
8e27a27b5902;1;14;0,525;0,525;1;SCIENCES DE LA VIE ET DE LA TERRE
8e4409fee039;1;14;0,525;0,525;1;MATHÉMATIQUES SECONDAIRE
8ef8f5cb09c7;7;14;0,675;0,75;4;PHYSIQUE, CHIMIE ET TECHNOLOGIE
8fd3d0d02270;1;14;0,525;0,525;1;LITTÉRATURE
905dab79f538;1;14;0,525;0,525;1;MATHÉMATIQUES SECONDAIRE
91bd68f3564d;1;14;0,525;0,525;1;MATHÉMATIQUES SECONDAIRE
920fed657307;3;14;0,5417;0,575;2;LITTÉRATURE
92bef0d4aa37;2;14;0,6;0,6;1;SCIENCES DE L'EDUCATION - PEDAGOGIE
92f676616337;1;14;0,525;0,525;1;ETUDES DES LANGUES
92fceb8d61b9;1;14;0,525;0,525;1;LITTÉRATURE
932ca4a22964;1;14;0,525;0,525;1;LITTÉRATURE
950708ea49c0;1;14;0,525;0,525;1;HISTOIRE-GÉOGRAPHIE
97ffb9709cf5;1;14;0,525;0,525;1;ETUDES DES LANGUES
9876778a7453;2;14;0,55;0,575;2;LITTÉRATURE
9948c2950675;4;14;0,5875;0,6;2;PHYSIQUE  CHIMIE  UNIVERSITAIRES
99ac9b264c15;1;14;0,525;0,525;1;ETUDES DES LANGUES
9a0cac924368;3;14;0,5583;0,575;3;SCIENCES DE LA VIE ET DE LA TERRE
9a6effe793c3;1;14;0,525;0,525;1;PHYSIQUE, CHIMIE ET TECHNOLOGIE
9ade6955b08b;6;14;0,5417;0,575;3;LITTÉRATURE
9b1c7434f62e;1;14;0,525;0,525;1;SCIENCES DE LA VIE ET DE LA TERRE
9d4106549215;1;14;0,525;0,525;1;PHYSIQUE, CHIMIE ET TECHNOLOGIE
9d661d825e99;2;14;0,525;0,525;1;MATHÉMATIQUES SECONDAIRE
9dd3018a4e75;2;14;0,55;0,575;2;MATHÉMATIQUES SECONDAIRE
9f561ad0e4de;1;14;0,525;0,525;1;SCIENCES DE LA VIE ET DE LA TERRE
a098bf3213c1;2;14;0,55;0,575;2;FINANCE
a6507b5b7d20;1;14;0,525;0,525;1;ETUDES DES LANGUES
a6b8cc5bd642;2;17,5;0,525;0,525;1;LITTÉRATURE
a953b9c30cf1;1;14;0,525;0,525;1;PHILOSOPHIE
a9f5b243da4d;1;14;0,525;0,525;1;SCIENCES DE LA VIE ET DE LA TERRE
ac0dc1d60078;1;14;0,525;0,525;1;LITTÉRATURE
ac23d511a566;3;14;0,5583;0,575;3;LITTÉRATURE JEUNESSE BÉNINOISE ET AFRICAINE
ac922f2a0b75;1;14;0,525;0,525;1;LITTÉRATURE JEUNESSE BÉNINOISE ET AFRICAINE
acd171caa296;1;14;0,525;0,525;1;PHYSIQUE, CHIMIE ET TECHNOLOGIE
ada1ddc05f5d;1;14;0,525;0,525;1;MATHÉMATIQUES SECONDAIRE
ade4f5622edf;1;14;0,525;0,525;1;OEUVRES LITTÉRAIRES AU PROGRAMME
b0950b37f84a;2;14;0,55;0,575;2;ETUDES DES LANGUES
b3e9f424825c;2;14;0,55;0,575;2;ETUDES DES LANGUES
b598c07cc59e;3;14;0,525;0,525;1;UMATHEMATIQUES FONDAMENTALES
b69b7d4198e0;2;14;0,55;0,575;2;PHYSIQUE, CHIMIE ET TECHNOLOGIE
b81dfbd41b7a;5;14;0,575;0,6;3;UPHYSIQUE (MECANIQUE - PHYSIQUE QUANTIQUE - RELATIVITE)
b9583427e125;3;16,3;0,5417;0,575;2;PHILOSOPHIE
bad16144fd10;3;14;0,5917;0,6;2;PHILOSOPHIE
bb933085f8a2;4;14;0,525;0,525;1;LITTÉRATURE
bbf729c74c77;1;14;0,525;0,525;1;MATHÉMATIQUES SECONDAIRE
bc565cd53977;3;14;0,5583;0,575;3;LITTÉRATURE
bc5c6270a9c6;6;15,2;0,5333;0,575;2;LITTÉRATURE
be31a808de6f;2;14;0,55;0,575;2;PHYSIQUE, CHIMIE ET TECHNOLOGIE
be75c624616f;1;14;0,525;0,525;1;LITTÉRATURE
bf431cf71eaf;3;15,7;0,5417;0,575;2;PHYSIQUE, CHIMIE ET TECHNOLOGIE
bf97b148abbe;1;28;0,525;0,525;1;PHILOSOPHIE
bfa37ef359d2;3;14;0,5917;0,6;2;PHYSIQUE, CHIMIE ET TECHNOLOGIE
c04e66ef98d1;1;14;0,525;0,525;1;PHILOSOPHIE
c0df283621f2;1;14;0,525;0,525;1;MATHÉMATIQUES SECONDAIRE
c13692d9f5f7;2;14;0,525;0,525;1;LITTÉRATURE
c3b8da418dd5;1;14;0,525;0,525;1;MATHÉMATIQUES SECONDAIRE
c3c94b025750;2;14;0,55;0,575;2;FRANÇAIS
c5fb043bee5d;2;14;0,525;0,525;1;LITTÉRATURE
